Time from Start to Finish (seconds),Q1,Q2,Q3,Q4,Q5,Q6,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER,Q8
1838,35-39,Man,Colombia,Doctoral degree,Student,5-10 years,Python,R,SQL,C,,,Javascript,,,,MATLAB,,Other,Python
289287,30-34,Man,United States of America,Master’s degree,Data Engineer,5-10 years,Python,R,SQL,,,,,,,,,,,Python
860,35-39,Man,Argentina,Bachelor’s degree,Software Engineer,10-20 years,,,,,,Java,Javascript,,,Bash,,,,R
507,30-34,Man,United States of America,Master’s degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python
78,30-34,Man,Japan,Master’s degree,Software Engineer,3-5 years,Python,,,,,,,,,,,,,Python
401,30-34,Man,India,Bachelor’s degree,Data Analyst,< 1 years,Python,R,,,,,,,,,,,,Python
748,22-24,Man,Brazil,Bachelor’s degree,Student,3-5 years,Python,R,,C,,,,,,,,,,Python
171196,25-29,Woman,China,Master’s degree,Student,< 1 years,,R,,,,,,,,,,,,R
762,35-39,Man,Germany,Doctoral degree,Data Scientist,5-10 years,Python,,SQL,,,,,,,Bash,,,,Python
150,22-24,Man,China,No formal education past high school,Student,< 1 years,Python,,SQL,,,,,,,,,,,Python
7469,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,R,SQL,C,,Java,,,,,,,,Python
742,35-39,Man,United States of America,Doctoral degree,Research Scientist,1-2 years,,R,,,,,,,,,,,,R
535,22-24,Man,Indonesia,Bachelor’s degree,Student,< 1 years,Python,R,SQL,,,,,,,,MATLAB,,,R
378,30-34,Man,Canada,Bachelor’s degree,Data Engineer,< 1 years,Python,,SQL,,,,,,,,MATLAB,,,Python
623,30-34,Man,Switzerland,Bachelor’s degree,Other,< 1 years,Python,R,,,,,,,,,,,,Python
413,18-21,Woman,India,Bachelor’s degree,Student,1-2 years,,R,SQL,,,,,,,,,,,R
397,25-29,Woman,Other,Bachelor’s degree,Currently not employed,3-5 years,,,SQL,,,,,,,,,,,Python
437,22-24,Man,Singapore,Bachelor’s degree,Student,3-5 years,Python,,,,,Java,Javascript,,,Bash,,,,Python
192,22-24,Man,India,Bachelor’s degree,Student,1-2 years,Python,,SQL,C,C++,,Javascript,,,,,,,Python
267,18-21,Man,India,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,Javascript,,,,,,,C++
3313,22-24,Woman,India,Doctoral degree,Statistician,3-5 years,,R,SQL,,C++,,,,,,,,,Python
874,30-34,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years,Python,,SQL,,,,,,,,,,,Python
815,55-59,Woman,Canada,Master’s degree,Product/Project Manager,1-2 years,Python,,,,,,,,,,,,,Python
694,35-39,Man,South Africa,Some college/university study without earning a bachelor’s degree,Data Analyst,< 1 years,Python,,SQL,,,,,,,,,,,Python
571,50-54,Man,United States of America,Master’s degree,Software Engineer,20+ years,Python,,,C,C++,,,,,,,,Other,Python
723,25-29,Woman,United States of America,Master’s degree,Student,1-2 years,Python,R,,,,,,,,,,,,Python
433,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,,,,,,,,Python
273,18-21,Man,Egypt,Bachelor’s degree,Student,1-2 years,Python,,,,,Java,,,,,,,,Python
545,30-34,Man,Netherlands,Bachelor’s degree,Software Engineer,10-20 years,Python,,,,,,,,,,,,,Python
1009,25-29,Man,Russia,Bachelor’s degree,Machine Learning Engineer,3-5 years,Python,,,,,,,,,Bash,,,,Python
1028,35-39,Woman,Pakistan,Master’s degree,Data Analyst,5-10 years,Python,R,SQL,,,,Javascript,,,,,,Other,SQL
1309,18-21,Man,India,Bachelor’s degree,Student,3-5 years,Python,,,C,C++,Java,Javascript,,,,,,,Python
459,30-34,Man,Other,Doctoral degree,Machine Learning Engineer,10-20 years,Python,,,,,,Javascript,,,,,,,Python
1528,18-21,Woman,India,Bachelor’s degree,Student,< 1 years,Python,,SQL,C,C++,,,,,,MATLAB,,,Python
65598,50-54,Woman,United States of America,Bachelor’s degree,Other,I have never written code,,,,,,,,,,,,,,
268,35-39,Man,India,Bachelor’s degree,Other,I have never written code,,,,,,,,,,,,,,
584,22-24,Man,Nepal,Bachelor’s degree,Student,3-5 years,Python,,SQL,,,,Javascript,,,,,,,Python
983,22-24,Man,Indonesia,Master’s degree,Data Scientist,3-5 years,Python,R,SQL,,,Java,,,,,,,,SQL
592,25-29,Man,South Korea,Master’s degree,Currently not employed,5-10 years,Python,R,,,,,,,,,,,Other,Python
664,18-21,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,,,C,C++,,,,,,,,,Python
340,30-34,Man,United States of America,Master’s degree,Student,3-5 years,Python,R,SQL,,,,,,,,,,,Python
